row_id,provider,method,path,operationId,summary,description
989,figshare.com,DELETE,/account/articles/{article_id}/authors/{author_id},private_article_author_delete,Delete article author,De-associate author from article
995,figshare.com,DELETE,/account/projects/{project_id}/articles/{article_id},private_project_article_delete,Delete project article,Delete project article
1014,files.com,DELETE,/styles/{path},DeleteStylesPath,Delete Style,Delete Style
1024,flat.io,DELETE,/organizations/lti/credentials/{credentials},revokeLtiCredentials,Revoke LTI 1.x credentials,
1029,flat.io,DELETE,/scores/{score}/comments/{comment}/resolved,markScoreCommentUnresolved,Mark the comment as unresolved,
1034,flat.io,PUT,/classes/{class}/assignments/{assignment}/submissions/{submission}/comments/{comment},updateSubmissionComment,Update a feedback comment to a submission,
1041,formapi.io,DELETE,/folders/{folder_id},deleteFolder,Delete a folder,
1044,frankiefinancial.io,DELETE,/entity/{entityId},DeleteEntity,Delete Entity,"Marks the entity as deleted in the system, and no further operations or general queries may be executed against it by the Customer. If another customer is presently relying on this data, it will still be available to them (but only in the partially anonymised form they originally had. An entity and its related data is only completely deleted from the database when either:   - a) There are no more references to it (i.e. it has been DELETEd by all Customers relying on the data), and 12 months have"
1051,gambitcomm.local,DELETE,/mimic/agent/{agentNum}/protocol/msg/snmpv3/view/del/{viewName},protocol_snmpv3_view_del,Deletes the specified view entry.,Deletes the specified view entry.
1053,gambitcomm.local,PUT,/mimic/agent/{agentNum}/protocol/msg/dhcp/set/trace/{enableOrNot},protocol_dhcp_set_trace,Set the agent's DHCP traffic tracing,"1 to enable, 0 to disable"
1054,gambitcomm.local,PUT,/mimic/agent/{agentNum}/protocol/msg/mqtt/client/runtime/abort,protocol_mqtt_client_runtime_abort,Abort agent's MQTT TCP session without sending DISCONNECT command,Abort a connection
1062,gambitcomm.local,PUT,/mimic/agent/{agentNum}/protocol/msg/telnet/ipalias/enable/{ipaddress}/{port},protocol_telnet_ipalias_enable,Enable individual IP aliases on the agent and the simulator host,"By default, the MIMIC TELNET server listens on all the IP addresses (aliases) that are configured for an agent"
1086,gerermesaffaires.com,PATCH,/spaces/{spaceId}/folders/{id}/bank,,,"Modify a Folder (except Name, Class, ModificationDate and ArchivalDate) and Bank data"
1120,gettyimages.com,PUT,/v3/asset-changes/change-sets,,Get asset change notifications.,"# Asset Changes Get notifications about new, updated or deleted assets for a specific channel. ##  Quickstart You'll need an API key and an access token to use this resource.  Maximum batch size is 2200. Change-sets must be confirmed before a new batch of notifications can be retrieved from this endpoint. Use the DELETE asset-changes/change-sets/{change-set-id} endpoint to confirm reciept of these notifications. Values returned for asset_type include Image, Film, and null. Values returned for as"
1129,gitea.io,DELETE,/teams/{id},orgDeleteTeam,Delete a team,
1130,gitea.io,DELETE,/user/gpg_keys/{id},userCurrentDeleteGPGKey,Remove a GPG key,
1144,gitlab.com,DELETE,/v3/projects/{id}/services/{service_slug},deleteV3ProjectsIdServicesServiceSlug,Delete a service for project,Delete a service for project
1181,gsmtasks.com,PATCH,/metafields/{id}/,metafields_partial_update,,
1185,gsmtasks.com,PUT,/accounts/{id}/stripe_create_setup_intent/,accounts_stripe_create_setup_intent_update,,Action to start a new setup intent.
1187,gsmtasks.com,PUT,/billing/customers/{id}/,billing_customers_update,,
1193,here.com,DELETE,/rules/v4/{ruleId},,Deletes a rule,Deletes a rule identified by the `ruleId`.
1200,here.com,PUT,/associations/v3/devices/batchUpdate,,Updates rules associations for devices,Updates rules associated with devices.
1205,hetras-certification.net,PATCH,/api/hotel/v0/hotels/{hotelId}/rateplans/{rateplanCode}/rates,RatePlans_PatchRates,Partially update a rate of the specified rateplan for the defined time period.,"The hetras API is using this <a href=""https://developer.hetras.com/docs/patch"" onfocus=""this.blur()"" target=""_blank"">Patch Specification</a>             to partially update an existing resource. Currently this call only allows to set the base price for non-derived rateplans if the rateplan             is active and already loaded for the specified time period.             <br /><br />             A request example:<br /><pre>             [               {                 ""op"": ""replace"", ""path"":"
1207,hetras-certification.net,PATCH,/api/hotel/v0/hotels/{hotelId}/rooms/{roomNumber},Rooms_PatchRoom,Partially updates a room.,"The hetras API is using this <a href=""https://developer.hetras.com/docs/patch"" onfocus=""this.blur()"" target=""_blank"">Patch Specification</a>             to partially update an existing resource. Currently this call only allows to modify condition and housekeeping occupancy status of the room.             <br /><br />             A request example:<br /><pre>             [               {                 ""op"": ""replace"", ""path"": ""/status/condition"", ""value"": ""CleanNotInspected""               }, {"
1214,hetzner.cloud,DELETE,/placement_groups/{id},,Delete a PlacementGroup,Deletes a PlacementGroup.
1252,hubapi.com,PUT,/webhooks/v3/{appId}/settings,put-/webhooks/v3/{appId}/settings_configure,,
1261,id4i.de,DELETE,/api/v1/collections/{id4n}/elements,removeElementsFromCollection,Remove elements from collection,
1278,ijenko.net,DELETE,/account/tokens/{tokenId},Account.revokeToken,Revoke a Token,Revoke the given *Token*. **Note:** requires full access to the *Account*.
1281,ijenko.net,DELETE,/programs/{programId},Program.delete,Delete a Program,Delete a *Program*. **Note**: requires full access to the *Account*.
1285,ijenko.net,PATCH,/functionalities/{functionalityId}/metadata,Functionality.patchMetadata,Modify metadata,"Modify the metadata. Keys are limited to the same format as tags (up to 21 characters, [a-z0-9], starting with [a-z]). Values can be any JSON value."
1299,illumidesk.com,DELETE,/v1/teams/{team}/groups/{group}/,teams_groups_delete,Delete team group,
1313,increase.com,PATCH,/account_numbers/{account_number_id},update_an_account_number,Update an Account Number,
1328,influxdata.com,DELETE,/variables/{variableID},DeleteVariablesID,Delete a variable,
1338,intellifi.nl,DELETE,/items/{id},deleteItem,Delete item,
1347,intellifi.nl,PUT,/locations/{id},updateLocation,Update existing location,
1366,iqualify.com,PUT,/offerings/{offeringId}/metadata/category,,Update offering category metadata,Updates the offering category metadata.
1379,ix-api.net,PATCH,/network-feature-configs/{id},network_feature_configs_partial_update,,Update parts of a network feature configuration
1381,ix-api.net,PATCH,/network-services/{id},network_services_partial_update,,Partially update a network service
1395,izettle.com,PUT,/organizations/{organizationUuid}/products/v2/{productUuid},updateProduct,Update a single product,"Updates a product entity using JSON merge patch (https://tools.ietf.org/html/rfc7386). This means that only included fields will be changed: null values removes the field on the target entity, and other values updates the field. Conditional updates are supported through the HttpHeaders.IF_MATCH header. If the conditional prerequisite is fullfilled, the product is updated: otherwise a 412 (precondition failed) will be returned with an empty body."
1406,jellyfin.local,DELETE,/Library/VirtualFolders/Paths,RemoveMediaPath,Remove a media path.,
1407,jellyfin.local,DELETE,/LiveTv/Recordings/{recordingId},DeleteRecording,Deletes a live tv recording.,
1442,jumpseller.com,DELETE,/shipping_methods/{id}.json,,Delete an existing Shipping Method.,
1447,jumpseller.com,PUT,/products/{id}/options/{option_id}/values/{value_id}.json,,Modify an existing Product Option Value.,
1448,jumpseller.com,PUT,/products/{id}/variants/{variant_id}.json,,Modify an existing Product Variant.,
1469,keycloak.local,DELETE,/{realm}/clients/{id}/nodes/{node},,Unregister a cluster node from the client,
1476,keycloak.local,PUT,/{realm}/clients/{id}/roles/{role-name},,Update a role by name,
1499,kubernetes.io,PUT,/api/v1/persistentvolumes/{name}/status,replaceCoreV1PersistentVolumeStatus,,replace status of the specified PersistentVolume
1507,kumpeapps.com,PATCH,/authkey,authkey_patch,Compromise auth key,Mark user auth key as compromised
1516,launchdarkly.com,DELETE,/integrations/{integrationKey}/{integrationId},deleteIntegrationSubscription,Delete an integration subscription by ID.,
1518,launchdarkly.com,DELETE,/projects/{projectKey}/flags/{featureFlagKey}/environments/{environmentKey}/approval-requests/{approvalRequestId},deleteApprovalRequest,Delete an approval request for a feature flag config,
1523,launchdarkly.com,PATCH,/destinations/{projectKey}/{environmentKey}/{destinationId},patchDestination,Perform a partial update to a data export destination.,
1544,lgtm.com,PUT,/snapshots/uploads/{session-id},uploadPart,Upload snapshot,Upload a database representing a snapshot of a codebase.  The database is sent in one or more parts. Each part is sent in the request body.  Use the [`POST /snapshots/{project-id}/{language}`](https://lgtm.com/help/lgtm/api/api-v1#opIdinitSnapshotUpload) endpoint  to start an upload session before uploading a database part. Database parts must have been generated and prepared for upload using the CodeQL CLI or the QL command-line tools. For further information on exporting externally-built datab
1561,loket.nl,PUT,/providers/employers/employees/employments/healthcareinsuranceactconfigurations/{healthcareInsuranceActConfigurationId},PutHealthcareInsuranceActConfigurationByHealthcareInsuranceActConfigurationId,Edit the details of a Healthcare Insurance Act record,__Activity name:__ PutHealthcareInsuranceActConfigurationByHealthcareInsuranceActConfigurationId Edit the details for a Healthcare Insurance Act record __Metadata :__ Possible options for fields of the type 'metadata' can be acquired (GET) by adding `/metadata` to the PUT URL.
1571,magento.com,DELETE,/V1/gift-wrappings/{id},giftWrappingWrappingRepositoryV1DeleteByIdDelete,gift-wrappings/{id},Delete gift wrapping
1575,magento.com,PUT,/V1/companyCredits/history/{historyId},companyCreditCreditHistoryManagementV1UpdatePut,companyCredits/history/{historyId},Update the PO Number and/or comment for a Reimburse transaction.
1598,maif.local,PUT,/api/globalconfig,putGlobalConfig,Update the global configuration,Update the global configuration
1600,maif.local,PUT,/api/snowmonkey/config,updateSnowMonkey,Update current Snow Monkey config,Update current Snow Monkey config
1611,mastodon.local,DELETE,/api/v1/conversations/{id},,,Remove converstation
1616,mastodon.local,DELETE,/api/v1/statuses/{id},,,
1620,mastodon.local,PUT,/api/v1/push/subscription,,,"Updates the current push subscription. Only the data part can be updated. To change fundamentals, a new subscription must be created instead."
1642,meraki.com,PUT,/networks/{networkId}/alertSettings,updateNetworkAlertSettings,Update the alert configuration for this network,Update the alert configuration for this network
1650,meraki.com,PUT,/networks/{networkId}/switch/settings/multicast,updateNetworkSwitchSettingsMulticast,Update multicast settings for a network,Update multicast settings for a network
1665,microcks.local,DELETE,/services/{id},DeleteService,Delete Service,Delete a Service
1672,microsoft.com,DELETE,/me/profile/notes/{personAnnotation-id},me.profile.DeleteNotes,Delete navigation property notes for me,
1689,mist.com,DELETE,/api/v1/orgs/{org_id}/mxclusters/{mxcluster_id},deleteOrgMxEdgeCluster,deleteOrgMxEdgeCluster,Delete Org MXEdge Cluster
1707,motaword.com,DELETE,/continuous_projects/{projectId}/strings/cached,clearTranslationCache,Clear translation cache,Clear/delete continuous project translation cache.
1726,n-auth.com,DELETE,/servers/{serverid}/users/{userid}/,deleteUser,Delete a specific user,Delete a user. Required permission: 'users'.
1734,n-auth.com,PUT,/servers/{serverid}/privilegedattributes/,updateServerPrivilegedAttributes,Update privileged specified attributes of a specific server,Update the specified privileged attributes of a specific server. Prior privileged attributes with keys that are not provided in the body of the request will not be deleted. Required permission: global 'servers'.
1748,naviplancentral.com,PUT,/api/Liabilities/{id},Liabilities_PutByIdModel,,Description: The operation updates a Liability.<br />               Purpose: Allows for complete replacement of a Liability on a Fact Finder.
1766,netbox.dev,PATCH,/ipam/aggregates/{id}/,ipam_aggregates_partial_update,,
1794,netlify.com,DELETE,/sites/{site_id},deleteSite,,
1796,netlify.com,DELETE,/sites/{site_id}/forms/{form_id},deleteSiteForm,,
1836,npr.org,PUT,/v2/stations,updateStations,Update the logged-in user's favorite station(s),"Right now, only the primary station can be changed. Previously selected stations will not be deleted, but the new station will be moved to first in the array."
1862,openbankingproject.ch,DELETE,/v1/{payment-service}/{payment-product}/{paymentId},cancelPayment,Payment cancellation request,"This method initiates the cancellation of a payment.  Depending on the payment-service, the payment-product and the ASPSP's implementation,  this TPP call might be sufficient to cancel a payment.  If an authorisation of the payment cancellation is mandated by the ASPSP,  a corresponding hyperlink will be contained in the response message. Cancels the addressed payment with resource identification paymentId if applicable to the payment-service, payment-product and received in product related time"
1875,openchannel.io,PATCH,/developerAccounts/{developerAccountId},,Updates the developer account fields,
1907,orthanc-server.com,DELETE,/patients/{id},,Delete some patient,Delete the DICOM patient whose Orthanc identifier is provided in the URL
1919,orthanc-server.com,PUT,/tools/log-level-generic,,Set log level for `generic`,Set the log level of the log category `generic`
1925,osf.io,DELETE,/comments/{comment_id}/,comments_delete,Delete a comment,"Deletes a comment. This action can be undone by setting deleted to False in a comment update request. #### Returns If the request is successful, no content is returned. If the request is unsuccessful, a JSON object with an `errors` key containing information about the failure will be returned. Refer to the [list of error codes](#tag/Errors-and-Error-Codes) to understand why this request may have failed."
1933,osf.io,PATCH,/nodes/{node_id}/contributors/{user_id}/,nodes_contributors_partial_update,Update a contributor,"Updates a contributor by setting the values of the attributes specified in the request body. Any unspecified attributes will be left unchanged. Contributors can be updated with either a **PUT** or **PATCH** request. Since this endpoint has no mandatory attributes, PUT and PATCH are functionally the same. #### Permissions Only project administrators can update the contributors on a node. #### Returns Returns a JSON object with a `data` key containing the new representation of the updated contribu"
1947,osisoft.com,PUT,/analyses/{webId}/securityentries/{name},Analysis_UpdateSecurityEntry,Update a security entry owned by the analysis.,
1963,ote-godaddy.com,PATCH,/v1/domains/{domain}/contacts,updateContacts,Update domain,
1970,pandorabots.com,DELETE,/bot/{app_id}/{botname},deleteBot,Delete a bot,"Delete a bot on the Pandorabots server.<p>Deleting a bot that does not exist returns a 412 error. Invalid botname will return a 400 error. Invalid app_id, user_key, or referrer filter will return a 401 error.</p><p><pre class='prettyprint'>curl -v  -X DELETE 'https://aiaas.pandorabots.com/bot/APP_ID/BOTNAME?user_key=USER_KEY'</pre></p>"
1971,pandorabots.com,DELETE,/bot/{app_id}/{botname}/{file-kind},deleteBotFile2,"Delete a bot file (pdefaults, properties)","Delete pdefaults or properties bot file.<p>For malformed file-kind, a 404 error is returned. For invalid botname, a 412 error is returned.</p><pre><p>curl -v -X DELETE 'https://aiaas.pandorabots.com/bot/APP_ID/BOTNAME/FILE-KIND?user_key=USER_KEY'</p></pre>"
2000,payrun.io,PUT,/Employer/{EmployerId}/SubContractor/{SubContractorId},PutSubContractorIntoEmployer,Updates the sub contractor,Updates the existing specified sub contractor object
2030,postmarkapp.com,DELETE,/templates/{templateIdOrAlias},deleteTemplate,Delete a Template,
2036,postmarkapp.com,PUT,/messages/inbound/{messageid}/retry,retryInboundMessageProcessing,Retry a failed inbound message for processing,
2082,probely.com,PUT,/targets/{target_id}/scheduledscans/{id}/,,Update a scheduled scan,
2098,quotes.rest,PATCH,/quote,,,Update a quote
2119,rebilly.com,DELETE,/credentials/{id},DeleteCredential,Delete a credential,Delete a credential with predefined identifier string.
2124,rebilly.com,DELETE,/products/{id},DeleteProduct,Delete a product,Delete a product with predefined identifier string.
2132,rebilly.com,PUT,/invoices/{id},PutInvoice,Create or update an invoice with predefined ID,Create or update an invoice with predefined identifier string.
2146,redirection.io,DELETE,/users/{id},deleteUserItem,Removes the User resource.,
2176,ritc.io,DELETE,/users/{user_id},removeAppUser,,Remove a user
2212,rumble.run,PATCH,/org/assets/{asset_id}/tags,updateAssetTags,Update asset tags,
2215,rumble.run,PUT,/account/users,createAccountUser,Create a new user account,
2220,runscope.com,DELETE,/buckets/{bucketKey}/messages,,Clear a bucket (remove all messages).,
2228,sakari.io,DELETE,/v1/accounts/{accountId}/webhooks/{url},webhooks.unsubscribe,Unsubscribe to message events,Delete subscription for receiving notifications
2266,sendgrid.com,DELETE,/ips/pools/{pool_name}/ips/{ip},DELETE_ips-pools-pool_name-ips-ip,Remove an IP address from a pool,**This endpoint allows you to remove an IP address from an IP pool.**
2283,shipengine.com,DELETE,/v1/packages/{package_id},delete_package_type,Delete A Custom Package By ID,Delete a custom package using the ID
2329,sinao.app,DELETE,/apps/{appId}/bankdetails/{id},app.documents.sales.bankdetails.delete,Remove a BankDetails,
2330,sinao.app,DELETE,/apps/{appId}/exports/{id},app.accounting.export.delete,Remove a ExportEntity,
2333,sinao.app,DELETE,/apps/{appId}/invoices/batch,app.documents.sales.invoices.batch_delete,Delete many invoices,Delete many invoices
2349,slicebox.local,DELETE,/log,,,delete all log messages
2379,soundcloud.com,DELETE,/likes/playlists/{playlist_id},,Unlikes a playlist.,
2438,stream-io-api.com,PATCH,/campaigns/{id}/stop,StopCampaign,Stop campaign,Stop a running campaign
2449,superset.apache.local,DELETE,/css_template/{pk},,,Delete CSS template
2458,superset.apache.local,PUT,/dashboard/{pk},,,Changes a Dashboard.
2495,telnyx.com,PATCH,/billing_groups/{id},updateBillingGroup,Update a billing group,
2525,tl-api.azurewebsites.net,DELETE,/api/Article,Article_Delete,Delete article from the system,
2529,tl-api.azurewebsites.net,PUT,/api/Package,Package_Put,Update existing package by its ID,
