set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds,GET,retrieveRefunds,r,true,true,1,carrier-billing-refund:refunds:read,false,false,false,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/payments/{paymentId}/refunds,refundId|refundStatus|type|refundCreationDate|refundDate|reason|sink,false
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,r,true,true,1,carrier-billing-refund:refunds:read,false,false,false,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/payments/{paymentId}/refunds/{refundId},refundId|refundStatus|type|refundCreationDate|refundDate|reason|sink,false
camara,CarrierBillingCheckOut,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,r,true,true,1,carrier-billing-refund:refunds:read,false,false,false,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/payments/{paymentId}/refunds/remaining-amount,amount|currency|description|isTaxIncluded|taxAmount,false
camara,CarrierBillingCheckOut,/payments,POST,createPayment,x,true,true,1,carrier-billing:payments:create,false,false,false,true,application/json,amountTransaction|sink|sinkCredential,true,201|400|401|403|404|409|422|429,false,true,false,false,true,false,false,false,false,,true,true,true,true,/payments,paymentId|amountTransaction|paymentStatus|paymentCreationDate|paymentDate|sink,false
camara,CarrierBillingCheckOut,/payments,GET,retrievePayments,r,true,true,1,carrier-billing:payments:read,false,false,false,false,,,false,200|400|401|403|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/payments,paymentId|amountTransaction|paymentStatus|paymentCreationDate|paymentDate|sink,false
camara,CarrierBillingCheckOut,/payments/{paymentId},GET,retrievePayment,r,true,true,1,carrier-billing:payments:read,false,false,false,false,,,false,200|400|401|403|404|429,true,false,false,false,false,false,false,false,false,,true,true,true,true,/payments/{paymentId},paymentId|amountTransaction|paymentStatus|paymentCreationDate|paymentDate|sink,false
camara,CarrierBillingCheckOut,/payments/prepare,POST,preparePayment,x,true,true,1,carrier-billing:payments:create,false,false,false,true,application/json,amountTransaction|sink|sinkCredential,true,201|400|401|403|404|409|422|429,false,true,false,false,true,false,false,false,false,,true,true,true,false,,,false
camara,CarrierBillingCheckOut,/payments/{paymentId}/validate,POST,validatePayment,x,true,true,1,carrier-billing:payments:write,false,false,false,true,application/json,authorizationId|code,false,204|400|401|403|404|409|429,false,false,false,true,false,false,false,false,false,,true,true,true,false,,,false
camara,CarrierBillingCheckOut,/payments/{paymentId}/confirm,POST,confirmPayment,x,true,true,1,carrier-billing:payments:write,false,false,false,true,application/json,phoneNumber,true,202|400|401|403|404|409|422|429,false,false,true,false,false,false,false,false,false,,true,true,true,false,,,false
camara,CarrierBillingCheckOut,/payments/{paymentId}/cancel,POST,cancelPayment,w,true,true,1,carrier-billing:payments:write,false,false,false,true,application/json,phoneNumber,true,202|400|401|403|404|409|422|429,false,false,true,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ClickToDial,/calls,POST,createCall,x,true,true,1,click-to-dial:calls:create,false,false,true,true,application/json,caller|callee|sink|sinkCredential|recordingEnabled,false,201|400|401|403|409|422,false,true,false,false,true,false,false,false,false,,true,true,true,false,,,false
camara,ClickToDial,/calls/{callId},GET,getCall,r,true,true,1,click-to-dial:calls:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/calls/{callId},callId|caller|callee|status|createdAt|recordingEnabled,false
camara,ClickToDial,/calls/{callId},DELETE,terminateCall,x,true,true,1,click-to-dial:calls:delete,false,false,true,false,,,false,204|400|401|403|404|409,false,false,false,true,false,false,false,false,false,,true,true,true,true,/calls/{callId},callId|caller|callee|status|createdAt|recordingEnabled,false
camara,ClickToDial,/calls/{callId}/recording,GET,getRecording,r,true,true,1,click-to-dial:recordings:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/calls/{callId}/recording,callId|content|contentType|generatedAt,false
camara,ConnectedNetworkType,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,true,true,1,connected-network-type-subscriptions:org.camaraproject.connected-network-type-subscriptions.v0.network-type-changed:create,false,false,true,true,application/json,protocol|sink|sinkCredential|types|config,true,201|202|400|401|403|409|422|429,false,true,true,false,true,false,true,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,ConnectedNetworkType,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,true,true,1,connected-network-type-subscriptions:read,false,false,true,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,ConnectedNetworkType,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,true,true,1,connected-network-type-subscriptions:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
camara,ConnectedNetworkType,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,true,true,1,connected-network-type-subscriptions:delete,false,false,true,false,,,false,202|204|400|401|403|404,false,false,true,true,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
camara,ConnectedNetworkType,/retrieve,POST,getConnectedNetworkType,r,true,true,1,connected-network-type:read,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ConnectivityInsights,/subscriptions,POST,createSubscription,x,true,true,1,connectivity-insights-subscriptions:org.camaraproject.connectivity-insights-subscriptions.v0.network-quality:create,false,false,true,true,application/json,protocol|sink|sinkCredential|types|config,true,201|202|400|401|403|409|422|429,false,true,true,false,true,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,ConnectivityInsights,/subscriptions,GET,getSubscriptionList,r,true,true,1,connectivity-insights-subscriptions:read,false,false,true,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,ConnectivityInsights,/subscriptions/{subscriptionId},GET,getSubscription,r,true,true,1,connectivity-insights-subscriptions:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},id|protocol|sink|types|config|startsAt|expiresAt|status,true
camara,ConnectivityInsights,/subscriptions/{subscriptionId},DELETE,deleteSubscription,w,true,true,1,connectivity-insights-subscriptions:delete,false,false,true,false,,,false,202|204|400|401|403|404,false,false,true,true,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},id|protocol|sink|types|config|startsAt|expiresAt|status,true
camara,ConnectivityInsights,/check-network-quality,POST,checkNetworkQuality,r,true,true,1,connectivity-insights:check,false,false,true,true,application/json,applicationProfileId|device|applicationServer|applicationServerPorts|monitoringTimeStamp,true,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
