set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,DedicatedNetworks,GET,/accesses/{accessId},readAccess,r,r,locked,,Read access information
camara,DedicatedNetworks,DELETE,/accesses/{accessId},deleteAccess,x,x,party-noun,summary:access,Delete an access
camara,DedicatedNetworks,GET,/accesses/{accessId}/devices,listDevices,r,r,locked,,"Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status"
camara,DedicatedNetworks,POST,/accesses/{accessId}/devices/add,addDevicesToAccess,x,x,floor,,Add devices to the access
camara,DedicatedNetworks,POST,/accesses/{accessId}/devices/remove,removeDevicesFromAccess,x,x,floor,,Remove devices from the access
camara,DedicatedNetworks,POST,/retrieve-service-areas,retrieveNetworkServiceAreas,r,r,read-verb,opid:retrieve,"Retrieve network service areas, filtered by additional search criteria"
camara,DedicatedNetworks,GET,/areas/{areaId},readNetworkServiceArea,r,r,locked,,Read a network service area
camara,DedicatedNetworks,GET,/profiles,readNetworkProfiles,r,r,locked,,Read dedicated network profiles
camara,DedicatedNetworks,GET,/profiles/{profileId},readNetworkProfile,r,r,locked,,Read a dedicated network profile
camara,DedicatedNetworks,GET,/networks,listNetworks,r,r,locked,,Get a paged list of dedicated networks
camara,DedicatedNetworks,POST,/networks,createNetwork,x,x,floor,,Request to create a dedicated network
camara,DedicatedNetworks,GET,/networks/{networkId},readNetwork,r,r,locked,,Get the current information about a dedicated network
camara,DedicatedNetworks,DELETE,/networks/{networkId},deleteNetwork,x,x,party-noun,summary:network,Delete a dedicated network
camara,DeviceAuthenticity,POST,/check-status,checkImeiStatus,r,r,read-verb,opid:check,Check the register status of a device using its IMEI
camara,DeviceDataVolume,POST,/subscriptions,createDeviceDataVolumeSubscription,x,x,floor,,Create a device data volume event subscription
camara,DeviceDataVolume,GET,/subscriptions,retrieveDeviceDataVolumeSubscriptionList,r,r,locked,,Retrieve a list of device data volume subscriptions
camara,DeviceDataVolume,GET,/subscriptions/{subscriptionId},retrieveDeviceDataVolumeSubscription,r,r,locked,,Retrieve a device data volume event subscription
camara,DeviceDataVolume,DELETE,/subscriptions/{subscriptionId},deleteDeviceDataVolumeSubscription,w,w,floor,,Delete a device data volume event subscription
camara,DeviceDataVolume,POST,/retrieve,retrieveDataVolume,r,x,live-verb,summary:execute,Execute device data volume retrieval for a user device
camara,DeviceDataVolume,POST,/check,checkDataVolume,r,r,read-verb,opid:check,Check if the remaining data allowance is above a specified threshold
camara,DeviceIdentifier,POST,/retrieve-identifier,retrieveIdentifier,r,r,read-verb,opid:retrieve,Get details about the specific device being used by a given mobile subscriber
camara,DeviceIdentifier,POST,/retrieve-type,retrieveType,r,r,read-verb,opid:retrieve,Get details about the type of device being used by a given mobile subscriber
camara,DeviceIdentifier,POST,/retrieve-ppid,retrievePpid,r,r,read-verb,opid:retrieve,Get a pseudonymous identifier for device being used by a given mobile subscriber
camara,DeviceIdentifier,POST,/match-identifier,matchIdentifier,r,r,read-verb,opid:match,Check if a provided device identifier matches the one associated with the subscription
camara,DeviceLocation,POST,/subscriptions,createGeofencingSubscription,x,x,floor,,Create a geofencing subscription for a device
camara,DeviceLocation,GET,/subscriptions,retrieveGeofencingSubscriptionList,r,r,locked,,Retrieve a list of geofencing event subscription
camara,DeviceLocation,GET,/subscriptions/{subscriptionId},retrieveGeofencingSubscription,r,r,locked,,Operation to retrieve a subscription based on the provided ID
camara,DeviceLocation,DELETE,/subscriptions/{subscriptionId},deleteGeofencingSubscription,w,w,floor,,Delete a Geofencing event subscription
camara,DeviceLocation,POST,/retrieve,retrieveLocation,r,x,live-verb,summary:execute,Execute location retrieval for a user device
camara,DeviceLocation,POST,/verify,verifyLocation,r,r,read-verb,opid:verify,Verify the location of a device
camara,DeviceMediaStreamingRate,POST,/retrieve-maximum-downstream-media-rate,retrieveMaximumDownstreamMediaRate,r,r,read-verb,opid:retrieve,Get maximum downstream media streaming rate
