set,repo,path,method,operationId,gt_class,pred,confidence,status,evidence
camara,ConnectivityInsights,/subscriptions,POST,createSubscription,x,x,5.6554006968641115,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;bodyprop:protocol->raise:n=13:share=1.000;bodyprop:types->raise:n=13:share=1.000;bodyprop:config->raise:n=14:share=0.929;flag:callbacks_present->raise:n=41:share=0.927
camara,ConnectivityInsights,/subscriptions,GET,getSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,ConnectivityInsights,/subscriptions/{subscriptionId},GET,getSubscription,r,r,1,assigned,method-prior:GET-locked
camara,ConnectivityInsights,/subscriptions/{subscriptionId},DELETE,deleteSubscription,w,w,0,review,scope:delete-agrees
camara,ConnectivityInsights,/check-network-quality,POST,checkNetworkQuality,r,r,1.8,assigned,scope:check->lower:r;verbtable:check->lower:r:shareR=1.000
camara,ConsentInfo,/retrieve,POST,retrieveStatus,r,r,2.7199999999999998,assigned,scope:retrieve->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,ConsentManagement,/consents,POST,createConsent,x,x,1.8,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973
camara,ConsentManagement,/consents/{consentId},PATCH,updateConsent,w,x,0.7471264367816092,review,scope:update-write-no-table;corpus:update->lower:w:sharePutPatch=0.747
camara,ConsentManagement,/consents/retrieve-info,POST,retrieveConsentInfo,r,r,1.7200000000000002,assigned,scope:retrieve-info-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,CustomerInsights,/scoring/retrieve,POST,retrieveScoring,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DedicatedNetworks,/accesses,GET,listAccesses,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/accesses,POST,createAccess,x,x,2.725,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.972;flag:callbacks_present->raise:n=40:share=0.925
camara,DedicatedNetworks,/accesses/{accessId},GET,readAccess,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/accesses/{accessId},DELETE,deleteAccess,x,w,0,review,scope:delete-agrees
camara,DedicatedNetworks,/accesses/{accessId}/devices,GET,listDevices,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,x,x,0,review,scope:add-unknown
camara,DedicatedNetworks,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,x,x,0,review,scope:remove-unknown
camara,DedicatedNetworks,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DedicatedNetworks,/areas/{areaId},GET,readNetworkServiceArea,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/profiles,GET,readNetworkProfiles,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/profiles/{profileId},GET,readNetworkProfile,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/networks,GET,listNetworks,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/networks,POST,createNetwork,x,x,2.725,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.972;flag:callbacks_present->raise:n=40:share=0.925
camara,DedicatedNetworks,/networks/{networkId},GET,readNetwork,r,r,1,assigned,method-prior:GET-locked
camara,DedicatedNetworks,/networks/{networkId},DELETE,deleteNetwork,x,w,0,review,scope:delete-agrees
camara,DeviceAuthenticity,/check-status,POST,checkImeiStatus,r,r,0.8,assigned,scope:check-status-unknown;verbtable:check->lower:r:shareR=1.000
camara,DeviceDataVolume,/subscriptions,POST,createDeviceDataVolumeSubscription,x,x,8.655400696864112,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;bodyprop:protocol->raise:n=13:share=1.000;bodyprop:types->raise:n=13:share=1.000;bodyprop:config->raise:n=14:share=0.929;flag:callbacks_present->raise:n=41:share=0.927
camara,DeviceDataVolume,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceDataVolume,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceDataVolume,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceDataVolume,/retrieve,POST,retrieveDataVolume,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceDataVolume,/check,POST,checkDataVolume,r,r,1.8,assigned,scope:read->lower:r;verbtable:check->lower:r:shareR=1.000
camara,DeviceIdentifier,/retrieve-identifier,POST,retrieveIdentifier,r,r,1.7200000000000002,assigned,scope:retrieve-identifier-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceIdentifier,/retrieve-type,POST,retrieveType,r,r,1.7200000000000002,assigned,scope:retrieve-type-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceIdentifier,/retrieve-ppid,POST,retrievePpid,r,r,1.7200000000000002,assigned,scope:retrieve-ppid-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceIdentifier,/match-identifier,POST,matchIdentifier,r,x,0,review,scope:match-identifier-unknown
camara,DeviceLocation,/subscriptions,POST,createGeofencingSubscription,x,x,6.6554006968641115,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;bodyprop:protocol->raise:n=13:share=1.000;bodyprop:types->raise:n=13:share=1.000;bodyprop:config->raise:n=14:share=0.929;flag:callbacks_present->raise:n=41:share=0.927
camara,DeviceLocation,/subscriptions,GET,retrieveGeofencingSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceLocation,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceLocation,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceLocation,/retrieve,POST,retrieveLocation,r,r,2.7199999999999998,assigned,scope:read->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceLocation,/verify,POST,verifyLocation,r,r,1.8,assigned,scope:verify->lower:r;verbtable:verify->lower:r:shareR=1.000
camara,DeviceMediaStreamingRate,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,r,r,1.7200000000000002,assigned,scope:retrieve-maximum-downstream-media-rate-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceReachabilityStatus,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,x,7.6554006968641115,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;bodyprop:protocol->raise:n=13:share=1.000;bodyprop:types->raise:n=13:share=1.000;bodyprop:config->raise:n=14:share=0.929;flag:callbacks_present->raise:n=41:share=0.927
camara,DeviceReachabilityStatus,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceReachabilityStatus,/retrieve,POST,getReachabilityStatus,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,DeviceRoamingStatus,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,x,8.655400696864112,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.973;bodyprop:protocol->raise:n=13:share=1.000;bodyprop:types->raise:n=13:share=1.000;bodyprop:config->raise:n=14:share=0.929;flag:callbacks_present->raise:n=41:share=0.927
camara,DeviceRoamingStatus,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceRoamingStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceRoamingStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceRoamingStatus,/retrieve,POST,getRoamingStatus,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,DeviceStatus,/subscriptions,POST,createConnectedNetworkTypeSubscription,x,x,5.63974358974359,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.971;bodyprop:protocol->raise:n=11:share=1.000;bodyprop:types->raise:n=11:share=1.000;bodyprop:config->raise:n=12:share=0.917;flag:callbacks_present->raise:n=39:share=0.923
camara,DeviceStatus,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceStatus,/retrieve,POST,getConnectedNetworkType,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,DeviceStatus,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,x,7.63974358974359,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.971;bodyprop:protocol->raise:n=11:share=1.000;bodyprop:types->raise:n=11:share=1.000;bodyprop:config->raise:n=12:share=0.917;flag:callbacks_present->raise:n=39:share=0.923
camara,DeviceStatus,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceStatus,/retrieve,POST,getReachabilityStatus,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,DeviceStatus,/subscriptions,POST,createDeviceRoamingStatusSubscription,x,x,8.63974358974359,assigned,scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.971;bodyprop:protocol->raise:n=11:share=1.000;bodyprop:types->raise:n=11:share=1.000;bodyprop:config->raise:n=12:share=0.917;flag:callbacks_present->raise:n=39:share=0.923
camara,DeviceStatus,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,r,r,1,assigned,method-prior:GET-locked
camara,DeviceStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,w,w,0,review,scope:delete-agrees
camara,DeviceStatus,/retrieve,POST,getRoamingStatus,r,r,2.6348416289592764,assigned,scope:read->lower:r;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,DeviceSwap,/retrieve-date,POST,retrieveDeviceSwapDate,r,r,1.7200000000000002,assigned,scope:device-swap-unknown;scope:retrieve-date-unknown;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,DeviceSwap,/check,POST,checkDeviceSwap,r,r,1.8,assigned,scope:device-swap-unknown;scope:check->lower:r;verbtable:check->lower:r:shareR=1.000
camara,DeviceVisitLocation,/retrieve,POST,retrieveDeviceVisitLocation,r,r,2.7199999999999998,assigned,scope:retrieve->lower:r;corpus:retrieve->lower:r:shareGet=0.920;verbtable:retrieve->lower:r:shareR=1.000
camara,EdgeApplicationManagement,/apps,POST,submitApp,x,x,0.9230769230769231,assigned,scope:write->raise:writeFamilyShare=0.923
camara,EdgeApplicationManagement,/apps,GET,getApps,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/apps/{appId},GET,getApp,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/apps/{appId},DELETE,deleteApp,w,w,0,review,scope:delete-agrees
camara,EdgeApplicationManagement,/app-instances,POST,createAppInstance,x,x,3.648076923076923,assigned,scope:write->raise:writeFamilyShare=0.923;verbtable:create->raise:shareX=0.972;bodyprop:subscriptionRequest->raise:n=7:share=1.000;flag:callbacks_present->raise:n=40:share=0.925
camara,EdgeApplicationManagement,/app-instances,GET,getAppInstances,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/app-instances/{appInstanceId},GET,getAppInstance,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/app-instances/{appInstanceId},DELETE,deleteAppInstance,w,w,0,review,scope:delete-agrees
camara,EdgeApplicationManagement,/deployments,POST,createAppDeployment,x,x,3.648076923076923,assigned,scope:write->raise:writeFamilyShare=0.923;verbtable:create->raise:shareX=0.972;bodyprop:subscriptionRequest->raise:n=7:share=1.000;flag:callbacks_present->raise:n=40:share=0.925
camara,EdgeApplicationManagement,/deployments,GET,getAppDeployments,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},GET,getAppDeployment,r,r,1,assigned,method-prior:GET-locked
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},DELETE,deleteAppDeployment,w,w,0,review,scope:delete-agrees
camara,EdgeApplicationManagement,/deployments/{appDeploymentId},PATCH,updateAppDeployment,w,x,0.7471264367816092,review,scope:update-write-no-table;corpus:update->lower:w:sharePutPatch=0.747
camara,EdgeApplicationManagement,/edge-cloud-zones,GET,getEdgeCloudZones,r,r,1,assigned,method-prior:GET-locked
camara,EnergyFootprintNotification,/calculate-energy-consumption,POST,calculateEnergyConsumption,x,x,1.925,assigned,scope:calculate-energy-consumption-unknown;bodyprop:subscriptionRequest->raise:n=7:share=1.000;flag:callbacks_present->raise:n=40:share=0.925
camara,EnergyFootprintNotification,/calculate-carbon-footprint,POST,calculateCarbonFootprint,x,x,1.925,assigned,scope:calculate-carbon-footprint-unknown;bodyprop:subscriptionRequest->raise:n=7:share=1.000;flag:callbacks_present->raise:n=40:share=0.925
camara,HighThroughputElasticNetworks,/high-throughput-elastic-network/transmission/schedule,POST,scheduleTransmission,x,x,0.9333333333333333,assigned,scope:read->lower:r-cancelled;scope:write->raise:writeFamilyShare=0.933
camara,InHomeDeviceManagement,/v1/devices,GET,listDevices,r,r,1,assigned,method-prior:GET-locked
camara,InHomeDeviceManagement,/v1/devices/{deviceId},GET,getDevice,r,r,1,assigned,method-prior:GET-locked
camara,InHomeDeviceManagement,/v1/devices/{deviceId},PATCH,updateDevice,x,x,0.7471264367816092,review,scope:inhome.device.write-unknown;corpus:update->lower:w:sharePutPatch=0.747
camara,InHomeDeviceManagement,/v1/devices/{deviceId},DELETE,deleteDevice,x,w,0,review,scope:inhome.device.write-unknown
camara,InHomeDeviceManagement,/v1/devices/{deviceId}/actions/{actionId},POST,performDeviceAction,x,x,0,review,scope:inhome.device.write-unknown
camara,InHomeDeviceManagement,/v1/devices/{deviceId}/network-health,GET,getDeviceNetworkHealth,r,r,1,assigned,method-prior:GET-locked
camara,IoTDeviceManagement,/download,POST,downloadEsimProfile,x,x,0,review,scope:download-unknown
camara,IoTDeviceManagement,/enable,POST,enableEsimProfile,x,x,0,review,scope:enable-unknown
camara,IoTDeviceManagement,/disable,POST,disableEsimProfile,x,x,0,review,scope:disable-unknown
camara,IoTDeviceManagement,/delete,POST,deleteEsimProfile,x,x,0.9333333333333333,assigned,scope:delete->raise:writeFamilyShare=0.933
camara,IoTDeviceManagement,/set-fallback,POST,setFallbackEsimProfile,x,x,0,review,scope:set-fallback-unknown
camara,IoTDeviceManagement,/retrieve-status,POST,getEsimProfileStatus,r,r,1.634841628959276,assigned,scope:retrieve-status-unknown;corpus:get->lower:r:shareGet=0.835;verbtable:get->lower:r:shareR=1.000
camara,IoTDeviceManagement,/operations/{operationId},GET,retrieveOperation,r,r,1,assigned,method-prior:GET-locked
camara,IoTNetworkOptimization,/features/power-saving,POST,activatePowerSaving,x,x,3.8601626016260164,assigned,scope:write->raise:writeFamilyShare=0.933;bodyprop:devices->raise:n=5:share=1.000;bodyprop:subscriptionRequest->raise:n=8:share=1.000;flag:callbacks_present->raise:n=41:share=0.927
camara,IoTNetworkOptimization,/features/power-saving/transactions/{transactionId},GET,getPowerSaving,r,r,1,assigned,method-prior:GET-locked
camara,IoTSIMFraudPrevention,/subscriptions,POST,subscribeFraudPrevention,x,x,4.855400696864112,assigned,scope:subscribe->raise:xHintShare=1.000;bodyprop:config->raise:n=14:share=0.929;bodyprop:types->raise:n=13:share=1.000;bodyprop:protocol->raise:n=13:share=1.000;flag:callbacks_present->raise:n=41:share=0.927
camara,IoTSIMFraudPrevention,/subscriptions,GET,listSubscriptions,r,r,1,assigned,method-prior:GET-locked
camara,IoTSIMFraudPrevention,/subscriptions/{subscriptionId},GET,getSubscription,r,r,1,assigned,method-prior:GET-locked
camara,IoTSIMFraudPrevention,/subscriptions/{subscriptionId},DELETE,deleteSubscription,w,w,0,review,scope:delete-agrees
camara,IoTSIMFraudPrevention,/bind,POST,bindDeviceImei,x,x,0,review,scope:bind-unknown
camara,IoTSIMFraudPrevention,/unbind,POST,unBindDeviceImei,x,x,0,review,scope:unbind-unknown
camara,IoTSIMFraudPrevention,/query,POST,query,r,r,1,assigned,scope:query->lower:r
camara,KnowYourCustomer,/verify,POST,verifyAge,r,r,0.8,assigned,verbtable:verify->lower:r:shareR=1.000
camara,KnowYourCustomer,/fill-in,POST,KYC_Fill-in,r,x,0,review,
camara,KnowYourCustomer,/match,POST,KYC_Match,r,x,0,review,
camara,KnowYourCustomerAgeVerification,/verify,POST,verifyAge,r,r,1.8,assigned,scope:verify->lower:r;verbtable:verify->lower:r:shareR=1.000
camara,KnowYourCustomerFill-in,/fill-in,POST,kycFillin,r,r,0.8,assigned,scope:set-all-unknown;scope:phonenumber-unknown;scope:iddocument-unknown;scope:iddocumenttype-unknown;scope:iddocumentexpirydate-unknown;scope:bankaccountnumber-unknown;scope:name-unknown;scope:givenname-unknown;scope:familyname-unknown;scope:namekanahankaku-unknown;scope:namekanazenkaku-unknown;scope:middlenames-unknown;scope:familynameatbirth-unknown;scope:address-unknown;scope:streetname-unknown;scope:streetnumber-unknown;scope:postalcode-unknown;scope:region-unknown;scope:locality-unknown;scope:country-unknown;scope:housenumberextension-unknown;scope:birthdate-unknown;scope:email-unknown;scope:gender-unknown;scope:cityofbirth-unknown;scope:countryofbirth-unknown;scope:nationality-unknown;verbtable:kyc->lower:r:shareR=1.000
camara,KnowYourCustomerMatch,/match,POST,kycMatch,r,r,1.8,assigned,scope:match->lower:r;verbtable:kyc->lower:r:shareR=1.000
camara,ModelAsAService,/knowledge-bases,POST,createKnowledgeBase,x,x,1.8,assigned,scope:create->raise:xHintShare=1.000;verbtable:create->raise:shareX=0.971
camara,ModelAsAService,/knowledge-bases,GET,listKnowledgeBases,r,r,1,assigned,method-prior:GET-locked
camara,ModelAsAService,/knowledge-bases/{knowledgeBaseId},GET,getKnowledgeBase,r,r,1,assigned,method-prior:GET-locked
camara,ModelAsAService,/knowledge-bases/{knowledgeBaseId},PUT,updateKnowledgeBase,w,w,0,review,scope:update-agrees
camara,ModelAsAService,/knowledge-bases/{knowledgeBaseId},DELETE,deleteKnowledgeBase,w,w,0,review,scope:delete-agrees
camara,ModelAsAService,/knowledge-bases/{knowledgeBaseId}/documents,POST,uploadDocument,x,x,1,assigned,scope:create->raise:xHintShare=1.000
