set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,InHomeDeviceManagement,PATCH,/v1/devices/{deviceId},updateDevice,x,x,party-noun,summary:device,x,x,x,x,x,x,x,x,x
camara,InHomeDeviceManagement,DELETE,/v1/devices/{deviceId},deleteDevice,x,x,party-noun,summary:device,x,x,x,x,x,x,x,x,x
camara,InHomeDeviceManagement,POST,/v1/devices/{deviceId}/actions/{actionId},performDeviceAction,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,InHomeDeviceManagement,GET,/v1/devices/{deviceId}/network-health,getDeviceNetworkHealth,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,IoTDeviceManagement,POST,/download,downloadEsimProfile,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,IoTDeviceManagement,POST,/enable,enableEsimProfile,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,IoTDeviceManagement,POST,/disable,disableEsimProfile,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,IoTDeviceManagement,POST,/delete,deleteEsimProfile,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,IoTDeviceManagement,POST,/set-fallback,setFallbackEsimProfile,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,IoTDeviceManagement,POST,/retrieve-status,getEsimProfileStatus,r,x,floor,,r,r,r,x,x,x,x,x,x
camara,IoTDeviceManagement,GET,/operations/{operationId},retrieveOperation,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,IoTNetworkOptimization,POST,/features/power-saving,activatePowerSaving,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,IoTNetworkOptimization,GET,/features/power-saving/transactions/{transactionId},getPowerSaving,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,IoTSIMFraudPrevention,POST,/subscriptions,subscribeFraudPrevention,x,x,floor,,x,x,x,x,x,x,x,x,x
